MODO,METAL,ESPECIE,DIA ,MES ,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones
C,E642,Anas strepera,7,1,1981,"Sanlucar de Barrameda, Cadiz",España,6,2,Particular,,,,,,,,,,Encontrado muerto
A,6022917,Anas strepera,21,2,1991,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,3,2,P. Rodriguez,,,,,,,,,,Anillamiento
C,6022917,Anas strepera,28,2,1991,"Vic La Gardiole, Herault",Francia,3,2,Extranjero,,,,,,,,7,1084,Cazado con escopeta
A,FT82578,Anas crecca,17,10,1985,"Marquenterre, Somme",Francia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,FT82578,Anas crecca,15,8,1986,"Lucio del Cangrejo, Aznalcazar, Sevilla",España,5,0,P. Rodriguez,,,,,,,,303,1581,Encontrado muerto
A,7006944,Anas acuta,2,12,1987,"La Fao, Aznalczar, Sevilla",España,4,1,P. Rodriguez,,,,,,,,,,Anillamiento
C,7006944,Anas acuta,4,1,1993,"Salenelles , Seine-Maritime",Francia,A,0,Extranjero,,,,,,,,,,Cazado con escopeta
A,7006946,Anas acuta,2,12,1987,"Aznalcazar, Sevilla",España,3,1,P. Rodriguez,,,,,,,,,,Anillamiento
C,7006946,Anas acuta,18,1,1989,"Etang de L´Or, Herault",Francia,7,0,Extranjero,,,,,,,,416,1136,Cazado con escopeta
A,5006669,Anas crecca,28,10,1986,"RB Doñana, Almonte, Huelva",España,3,1,P. Rodriguez,,,,,,,,,,Anillamiento
C,5006669,Anas crecca,3,5,1988,"BTW Ektrask and Stenbbchen, Vasterbotten",Suecia,7,0,Extranjero,,,,,,,,,,Muerta por colision con vehiculo
A,4048785,Anas clypeata,22,6,1970,"Groot Schermer, Noor-Holland",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,4048785,Anas clypeata,18,6,2001,"Antequera, Malaga",España,A,0,M. Vazquez,,,,,,,,11319,1879,Cazado con escopeta fecha carta
A,6015852,Anas clypeata,15,10,1986,"RB Doñana, Almonte, Huelva",España,3,1,LEO BIAGGI,,,,,,,,,,Anillamiento
C,6015852,Anas clypeata,20,10,1987,"Bykhov, Mogilev",Rusia,5,0,Extranjero,,,,,,,,370,3347,Cazado con escopeta
A,6015863,Anas clypeata,10,15,1986,"RB Doñana, Almonte, Huelva",España,2,0,LEO BIAGGI,,,,,,,,,,Anillamiento
C,6015863,Anas clypeata,25,9,1987,"Oostvaa Dersdijk, Ijsselmeer Polders",Holanda,2,0,Extranjero,,,,,,,,,,Encontrado muerto
A,6017905,Anas clypeata,7,10,1987,"Aznalcazar, Sevilla",España,3,2,LEO BIAGGI,,,,,,,,,,Anillamiento
C,6017905,Anas clypeata,4,10,1989,"Donges, Loire Atlantique",Francia,7,0,Extranjero,,,,,,,,727,1164,Cazado con escopeta
A,5007759,Maramronetta angustirostris,2,10,1990,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,4,2,LEO BIAGGI,,,,,,,,,,Anillamiento
C,5007759,Maramronetta angustirostris,6,9,1992,Chalamont Ain,Francia,8,0,Extranjero,,,,,,,,705,1343,Cazado con escopeta
A,7009002,Aythya ferina,11,7,1985,"Lucio del Buen Tiro PND, Aznalcazar, Sevilla",España,1,0,LEO BIAGGI,,,,,,,,,,Anillamiento
C,7009002,Aythya ferina,1,5,1986,"Vologda O Kubenskoye, Vologda",Rusia,5,0,Extranjero,,,,,,,,295,3627,Muerto trampa para otros animales
A,7009045,Aythya ferina,14,7,1985,"Lucio del Rinconcillo PND, Almonte, Huelva",España,1,0,LEO BIAGGI,,,,,,,,,,Anillamiento
C,7009045,Aythya ferina,26,9,1986,"Lonnerup, Fjord, Jylland",Dinamarca,5,0,Extranjero,,,,,,,,437,2482,Muerto trampa para otros animales
A,7009058,Aythya ferina,26,7,1985,"Las Nuevas PND, Aznalcazar, Sevilla",España,1,1,LEO BIAGGI,,,,,,,,,,Anillamiento
C,7009058,Aythya ferina,30,9,1989,"Arthun, Loire",Francia,A,0,Extranjero,,,,,,,,1524,1271,Encontrado muerto
A,7009062,Aythya ferina,26,7,1985,"PN Doñana, Almonte, Huelva",España,3,1,LEO BIAGGI,,,,,,,,,,Anillamiento
C,7009062,Aythya ferina,9,10,1988,"El Kelaa, Dessaraghna",Marruecos,A,0,Extranjero,,,,,,,,1168,535,Cazado con escopeta
A,CA23796,Tadorna tadorna,2,7,1980,"Aigues Mortes, Gard",Francia,1,2,Extranjero,,,,,,,,,,Anillamiento
C,CA23796,Tadorna tadorna,15,12,1980,"Salinas de Bonanza,Sanlucar de Barrameda, Cadiz",España,3,0,Cazador,,,,,,,,,,Cazado con escopeta
A,CA24140,Tadorna tadorna,12,7,1980,"Salin de Giraud, Bouches du Rhone",Francia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,CA24140,Tadorna tadorna,1,3,1981,"Salinas de Bonanza,Sanlucar de Barrameda, Cadiz",España,5,2,Cazador,,,,,,,,,,Cazado con escopeta
A,3141108,Accipiter nisus,9,10,1981,"Schiermonnikoog, Schiermonnikoog",Holanda,3,2,Extranjero,,,,,,,,,,Anillamiento
C,3141108,Accipiter nisus,15,10,2000,"Marismas del Odiel, Huelva",España,A,0,Zamalla,,,,,,,,6946,2067,Encontrada solo anilla
A,EA022390,Milvus milvus,7,6,1990,"Aspaach, Gotha Erfurt",Alemania,1,0,Extranjero,,,,,,,,,,Anillamiento
C,EA022390,Milvus milvus,10,1,1992,"La lantejuela, Sevilla",España,7,0,Zamalla,,,,,,,,583,1968,Encontrado muerto
A,K38153,Milvus milvus,6,6,1998,"Thommen, Luik, Lieja",Belgica,1,0,Extranjero,,,,,,,,,,Anillamiento
C,K38153,Milvus milvus,15,2,2000,"Mochales, Osuna, Sevilla",España,7,0,Zamalla,,,,,,,,619,1695,Encontrado muerto
A,EA077777,Circus aeroginosus,29,6,1997,"Cumlosen, Oberhavel, Brademburgo",Alemania,1,0,Extranjero,,,,,,,,,,Anillamiento
C,EA077777,Circus aeroginosus,15,11,1997,"Posadas, Cordoba",España,3,0,Zamalla,,,,,,,,139,2127,Encontrado muerto
A,402100,Circus aeroginosus,22,6,1986,"Hillerod, Sjaelland",Dinamarca,1,0,Extranjero,,,,,,,,,,Anillamiento
C,402101,Circus aeroginosus,15,12,1992,"La lantejuela, Sevilla",España,A,0,Zamalla,,,,,,,,2368,2445,Encontrado muerto
A,DA124455,Circus aeroginosus,18,7,1999,"Lachaussee, Meuse",Francia,1,1,Extranjero,,,,,,,,,,Anillamiento
C,DA124455,Circus aeroginosus,5,1,2000,"El Cuervo, Lebrija, Sevilla",España,5,0,Zamalla,,,,,,,,171,1651,Colision con tendido electrico
A,8090079,Circus aeroginosus,28,6,1999,"Stjarnholm, Soderfjarden, Sodermanland",Suecia,1,2,Extranjero,,,,,,,,,,Anillamiento
C,8090079,Circus aeroginosus,17,1,2000,"La Coronela, Marchena, Sevilla",España,5,0,Zamalla,,,,,,,,203,2920,Encontrado muerto
A,5007103,Falco tinnunculus,5,11,1989,"La Tiesa, Villamanrique, Sevilla",España,4,2,M. Vazquez,,,,,,,,,,Anillamiento
C,5007103,Falco tinnunculus,5,9,1991,"Heessen, Arnsberg",Alemania,8,2,Extranjero,,,,,,,,670,1955,Ahogoda en deposito de agua
A,5010413,Falco tinnunculus,27,5,1993,"Osuna, Sevilla",España,1,0,Zamalla,,,,,,,,,,Anillamiento
