MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones,FECHA
C,9026345,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,5,12,2005,Basurero Miramundo,Medina Sidonia,Cadiz,A,0.0,Particular,,,,,,,,2370.0,48.0,muerto,12/05/2005
A,G018537,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,30,5,1990,Jerez de la Frontera,Jerez de la Frontera,Cadiz,1,0.0,O. del Junco,,,,,,,,,,anillamiento,05/30/1990
C,G018537,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,15,5,1993,Basurero,Dos Hermanas,Sevilla,9,0.0,M.Vazquez,,,,,,,,1081.0,71.0,muerto,05/15/1993
A,6015685,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",28,7,1986,Puebla del Rio,Puebla del Rio,Sevilla,1,0.0,Vilches,,,,,,,,,,anillamiento,07/28/1986
C,6015685,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",9,6,1987,Pinzon,Utrera,Sevilla,3,0.0,Particular,,,,,,,,,,muerto,06/09/1987
A,6022851,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",3,10,1990,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0.0,P.Rodriguez,,,,,,,,,,anillamiento,10/03/1990
C,6022851,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",11,12,1992,Almodovar del Rio,Almodovar del Rio,Cordoba,2,0.0,Particular,,,,,,,,800.0,110.0,muerto,12/11/1992
A,6040616,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",17,7,1988,Corta de la Isleta,Puebla del Rio,Sevilla,1,0.0,Catedra de Vertebrados,,,,,,,,,,anillamiento,07/17/1988
C,6040616,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",2,11,1988,Lebrija,Lebrija,Sevilla,3,0.0,M.Vazquez,,,,,,,,105.0,40.0,control,11/02/1988
A,6050205,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",7,7,1989,Corta de la Isleta,Puebla del Rio,Sevilla,1,0.0,Catedra de Vertebrados,,,,,,,,,,anillamiento,07/07/1989
C,6050205,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",15,12,1989,Lebrija,Lebrija,Sevilla,3,0.0,M.Vazquez,,,,,,,,158.0,49.0,control,12/15/1989
A,DE08298,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",22,7,1971,La Rocina PND,El Rocio,Huelva,1,0.0,EBD,,,,,,,,,,anillamiento,07/22/1971
C,DE08298,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0.0,M.Vazquez,,,,,,,,,,muerto,12/01/1989
A,5080412,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,6,2,2004,La Fao PND,Aznalcazar,Sevilla,5,1.0,JL del Valle,,,,,,,,,,anillamiento,02/06/2004
C,5080412,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,23,1,2007,Caracoles,Aznalcazar,Sevilla,6,2.0,M.Vazquez,,,,,,,11-12,1082.0,2.0,control,01/23/2007
A,5080459,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,20,12,2004,La Fao PND,Aznalcazar,Sevilla,5,1.0,JL del Valle,,,,,,,,,,anillamiento,12/20/2004
C,5080459,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,23,1,2007,Caracoles,Aznalcazar,Sevilla,6,1.0,M.Vazquez,,,,,,,11-12,764.0,2.0,control,01/23/2007
A,1006016,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,15,8,1998,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1,0.0,EBD,,,,,,,,,,anillamiento,08/15/1998
