MODO,METAL,ESPECIE,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple
A,400687,Serinus serinus,6,11,1990,Huerta El Torno,Dos Hermanas,Sevilla,3,0,M. Vazquez,NA,NA,Anillamiento,1990-11-06,anillamiento
C,400687,Serinus serinus,30,1,1993,Dos Hermanas,Dos Hermanas,Sevilla,2,0,Particular,816,4,Cazada con escopeta,1993-01-30,muerto
A,612577,Serinus serinus,2,5,1995,La Escribana,Coria del Rio,Sevilla,4,2,M. Vazquez,NA,NA,Anillamiento,1995-05-02,anillamiento
C,612577,Serinus serinus,15,3,1999,Coria del Rio,Coria del Rio,Sevilla,2,0,Particular,1413,4,Encotrado muerto,1999-03-15,muerto
A,2168981,Carduelis chloris,8,11,1987,Puñana,Almensilla,Sevilla,3,2,M. Vazquez,NA,NA,Anillamiento,1987-11-08,anillamiento
C,2168981,Carduelis chloris,8,11,1987,Rio Viejo,Coria del Rio,Sevilla,3,2,Particular,0,10,Cazada con red de tiro no se libera,1987-11-08,muerto
A,2216533,Carduelis chloris,28,7,1988,Valdelatas,Madrid,Madrid,3,0,G Horus,NA,NA,Anillamiento,1988-07-28,anillamiento
C,2216533,Carduelis chloris,6,5,1997,Dos Hermanas,Dos Hermanas,Sevilla,2,0,M. Vazquez,3204,408,Encontrada solo anilla,1997-05-06,muerto
A,2254947,Carduelis chloris,2,1,1992,La Algaida,Sanlucar de Barrameda,Cadiz,4,2,M. Vazquez,NA,NA,Anillamiento,1992-01-02,anillamiento
C,2254947,Carduelis chloris,6,9,1997,Manecorro PN Doñana,Almonte,Huelva,4,2,JL Arroyo,NA,NA,control,1997-09-06,control
A,2256067,Carduelis chloris,31,5,1989,La Estrella,Palomares del Rio,Sevilla,2,0,M. Vazquez,NA,NA,Anillamiento,1989-05-31,anillamiento
C,2256067,Carduelis chloris,5,10,1989,El Sequero,Coria del Rio,Sevilla,2,0,Particular,NA,5,Cazada con escopeta,1989-10-05,muerto
A,2549232,Carduelis chloris,22,6,1995,La Escribana,Coria del Rio,Sevilla,1,2,M. Vazquez,NA,NA,Anillamiento,1995-06-22,anillamiento
C,2549232,Carduelis chloris,15,11,1995,El Manchon,Coria del Rio,Sevilla,3,2,J Camacho,159,6,Cazada con red de tiro no se libera,1995-11-15,muerto
A,2550981,Carduelis chloris,30,8,1994,El Alcornocal,Los Palacios,Sevilla,2,0,M. Vazquez,NA,NA,Anillamiento,1994-08-30,anillamiento
C,2550981,Carduelis chloris,15,2,1995,Dos Hermanas,Dos Hermanas,Sevilla,2,0,T Alcantara,169,11,Encotrado muerto,1995-02-15,muerto
A,2913261,Carduelis chloris,28,8,2000,El Alcornocal,Los Palacios,Sevilla,3,2,M. Vazquez,NA,NA,Anillamiento,2000-08-28,anillamiento
C,2913261,Carduelis chloris,10,10,2000,Manecorro PN Doñana,Almonte,Huelva,3,2,JL Arroyo,44,50,control,2000-10-10,control
A,2222455,Carduelis chloris,30,10,1988,Huerta La Libertad,Puebla del Rio,Sevilla,3,2,M. Vazquez,NA,NA,Anillamiento,1988-10-30,anillamiento
C,2222455,Carduelis chloris,18,11,1988,La Pilarica,Puebla del Rio,Sevilla,3,2,M. Vazquez,NA,5,control,1988-11-18,control
A,2035331,Carduelis chloris,26,7,1987,Huerta Daniel,Puebla del Rio,Sevilla,4,2,M. Vazquez,NA,NA,Anillamiento,1987-07-26,anillamiento
C,2035331,Carduelis chloris,25,10,1988,Los Olmasos,Puebla del Rio,Sevilla,2,0,Particular,NA,6,Cazada,1988-10-25,muerto
A,2060269,Carduelis chloris,25,7,1987,Huerta Daniel,Puebla del Rio,Sevilla,6,1,M. Vazquez,NA,NA,Anillamiento,1987-07-25,anillamiento
C,2060269,Carduelis chloris,25,10,1988,Los Olmasos,Puebla del Rio,Sevilla,2,0,Particular,NA,6,Cazada,1988-10-25,muerto
A,2168030,Carduelis chloris,12,10,1987,Rio Viejo,Coria del Rio,Sevilla,3,2,M. Vazquez,NA,NA,Anillamiento,1987-10-12,anillamiento
C,2168030,Carduelis chloris,25,10,1988,Los Olmasos,Puebla del Rio,Sevilla,2,0,Particular,NA,4,Cazada,1988-10-25,muerto
A,2168731,Carduelis chloris,28,8,1988,Arroyo Guadalbacar,Lora del Rio,Sevilla,3,1,M. Vazquez,NA,NA,Anillamiento,1988-08-28,anillamiento
C,2168731,Carduelis chloris,21,10,1988,El Priorato,Lora del Rio,Sevilla,2,0,Particular,NA,6,Cazada,1988-10-21,muerto
A,2060024,Carduelis chloris,27,3,1987,La Cartuja,Sevilla,Sevilla,5,2,Vilches,NA,NA,Anillamiento,1987-03-27,anillamiento
C,2060024,Carduelis chloris,25,10,1988,Los Olmasos,Puebla del Rio,Sevilla,2,0,M. Vazquez,NA,14,Cazada,1988-10-25,muerto
A,2374154,Carduelis chloris,27,4,1995,La Escribana,Coria del Rio,Sevilla,4,2,M. Vazquez,NA,NA,Anillamiento,1995-04-27,anillamiento
