Anilla,NombreComun,NombreEspecie,Familia,Orden,Grupo,E,S,G,Ala,Peso,Dia,Mes,Año,Hora.C,Hora.F,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
191682,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,3.0,,,19,3,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-19,control
191683,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,3.0,,,19,3,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-19,control
230680,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,0.0,121.0,19.3,26,6,1988,11.0,12.0,Cortijo La Atalaya,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-06-26,control
2168411,Meadow Pipit,Anthus pratensis,Motacillidae (Wagtails and Pipits),Passeriformes,Wagtails and Pipits,2,0,,,,12,3,1988,,,Fuentes,Puebla del Rio,Sevilla,Manuel Vazquez,Cazada por gavilan,1988-03-12,control
2168825,Meadow Pipit,Anthus pratensis,Motacillidae (Wagtails and Pipits),Passeriformes,Wagtails and Pipits,4,0,4.0,,,26,3,1989,19.0,20.0,La Estrella,Palomares del Rio,Sevilla,Manuel Vazquez,,1989-03-26,control
2223679,White Wagtail,Motacilla alba,Motacillidae (Wagtails and Pipits),Passeriformes,Wagtails and Pipits,5,2,3.0,88.0,22.5,3,2,1989,18.0,19.0,C/ Sanchez Arjona,Sevilla,Sevilla,Manuel Vazquez,,1989-02-03,control
7044881,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,3,2,,,,25,9,1999,,,Laguna del Gobierno,La Lantejuela,Sevilla,Manuel Vazquez,Encontrado muerto,1999-09-25,muerto
7044864,Black Kite,Milvus migrans,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,"Vultures, Hawks, and Allies",2,0,,,,4,3,2000,,,Los Montes,Puebla del Rio,Sevilla,Alfonso Romero,Encontrado solo anilla,2000-03-04,control
4003534,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,2,0,,,,16,6,1991,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-16,muerto
4003539,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,1,0,,,,23,6,1991,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-23,muerto
4003540,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,1,0,,,,23,6,1991,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-23,muerto
4003541,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,1,0,,,,23,6,1991,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-23,muerto
4003544,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,1,0,,,,23,6,1991,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-23,muerto
4003551,Lesser Kestrel,Falco naumanni,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,1,0,,,,30,6,1991,,,Villar de las Culebras,Osuna,Sevilla,Manuel Vazquez,Encontrado muerto,1991-06-30,muerto
5010269,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,1,0,,,,21,7,1991,,,Cortijo Habichuela,Estepa,Sevilla,Manuel Vazquez,Encontrado muerto,1991-07-21,muerto
7009760,Eurasian Coot,Fulica atra,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,"Rails, Gallinules, and Allies",1,0,,,,30,6,1990,,,Laguna Escalera,El Rubio,Sevilla,Manuel Vazquez,Atropellado,1990-06-30,muerto
