Anilla,NombreEspecie,E,S,G,Ala,Peso,Tarso,Dia,Mes,Año,Hora.C,Hora.F,Ancho.tarso,Cola,Pico,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
2168534,Acrocephalus arundinaceus,4,2,0,91,32.2,NA,14,5,1988,7,8,NA,NA,NA,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-14,control
2255177,Acrocephalus arundinaceus,4,1,0,95,NA,NA,13,6,1990,9,10,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-06-13,control
2255195,Acrocephalus arundinaceus,4,2,1,NA,NA,NA,22,7,1990,9,10,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-22,control
2255197,Acrocephalus arundinaceus,4,0,2,NA,NA,NA,7,7,1990,19,20,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-07,control
2258410,Acrocephalus arundinaceus,4,2,1,NA,NA,NA,22,7,1990,9,10,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-22,control
176742,Hippolais pallida,3,0,1,NA,NA,NA,2,8,1987,6,7,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1987-08-02,control
176744,Hippolais pallida,4,2,0,NA,NA,NA,2,8,1987,10,11,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1987-08-02,control
191481,Hippolais pallida,4,1,0,NA,NA,NA,21,7,1988,8,9,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-07-21,control
2226034,Sylvia borin,2,0,3,NA,22,NA,17,9,1990,12,13,NA,NA,NA,Huerta El Torno,Dos Hermanas ,Sevilla,Manuel Vazquez,,1990-09-17,control
2169107,Sylvia atricapilla,6,1,3,NA,NA,NA,1,1,1988,NA,NA,NA,NA,NA,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-01,control
2169107,Sylvia atricapilla,6,1,3,NA,NA,NA,24,1,1988,NA,NA,NA,NA,NA,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-24,control
2195584,Sylvia atricapilla,5,2,0,NA,NA,NA,30,1,1988,9,10,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-01-30,control
2195594,Sylvia atricapilla,3,1,0,NA,NA,NA,5,12,1987,10,11,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1987-12-05,control
2195601,Sylvia atricapilla,5,1,1,NA,NA,NA,30,1,1988,9,10,NA,NA,NA,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-01-30,control
2220251,Sylvia atricapilla,4,1,3,NA,NA,NA,24,1,1988,16,17,NA,NA,NA,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1988-01-24,control
271105,Sylvia atricapilla,4,2,5,NA,NA,NA,14,3,1989,16,17,NA,NA,NA,La Estrella,Palomares del Rio,Sevilla,Manuel Vazquez,,1989-03-14,control
271120,Sylvia atricapilla,4,1,1,NA,NA,NA,4,3,1989,12,13,NA,NA,NA,La Estrella,Palomares del Rio,Sevilla,Manuel Vazquez,,1989-03-04,control
2168425,Sylvia atricapilla,3,1,1,NA,NA,NA,20,12,1987,12,13,NA,NA,NA,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1987-12-20,control
2168425,Sylvia atricapilla,3,1,1,NA,NA,NA,21,12,1987,17,18,NA,NA,NA,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1987-12-21,control
2168425,Sylvia atricapilla,3,1,2,NA,NA,NA,25,12,1987,17,18,NA,NA,NA,Dehesa de Carchena,Coria del Rio,Sevilla,Manuel Vazquez,,1987-12-25,control
